,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
23,Endobenthivorous demersal fish,0,0,0.1082333,0,0.12033699,0.012545735,0,0.00926491,0.04659396,0.025957494,0,0,0.000894567,0.006038047,0,0,0,0.020624141,0,0,0.002238317,0.002011211,0,0,0,0,0,0,0,0,0,0,0.01458783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Suprabenthivorous demersal fish,0,0,0.03109835,0.09214172,0,0,0.000114747,0.005592597,0.007751297,0.01872324,0.01023614,0.02276982,0.003587719,0.01048956,0.01528718,0.000940216,0,0.05235199,0,0,0.04615117,0,0,0.02670537,0,0,0.04399537,0,0,0.04763122,0,0,0.01504488,0,0.219127,0.005636551,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Small benthivorous demersal fish,0,0,0,0,0,0.02429807,0.01552904,0.006033242,0.01621616,0.2492807,0.000567436,0.01795322,0.0291639,0.01364625,0.005922675,0,0.008861959,0.07450396,0,0,0.05295187,0.1355925,0.01293623,0,0.03001273,0,0.000785887,0,0,0.01413256,0,0,0,0,0.01328009,0.06209868,0.03806382,0.001300037,0,0,0,0,0,0,0,0,0,0,0,0
26,Mackerel,0.06242324,0.03201162,0.01967972,0.02242683,0.002788386,0.03098414,0.01186938,0.09979075,0.02213831,0.002527532,0.0336788,0,0.007403621,0.004748254,0.007681678,0,0,0.006451175,0,0,0.01127265,0,0,0.001239557,0,0,0,0,0,0,0,0,0.00413743,0,0.008429981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Horse mackerel,0.5522336,0.4106535,0,0.03731197,0.02217629,0.3684995,0.009163698,0.2106496,0.1292903,0,0.3571797,0.3359076,0.01642117,0,0.137465,0,0,0.0706199,0,0,0.09638328,0,0,0.002817733,0.005914827,0,0,0,0,0,0,0,0.117249,0,0.08661163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Boarfish,0,0,0,0.000106416,0,0.004957716,0.001203902,0,0,0,0.000507668,0,0,0,0.002122686,0,0,0.004973956,0,0,0.000956767,0,0,0,0,0,0,0,0,0,0,0,0.0162966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Sprat,0,0.003703747,0,0.01774147,0.02657821,0.06662774,0.00450121,0.07506622,0,0,0.02081926,0.001432983,0.004508653,0.002264475,0.09234767,0.003490675,0,0.0212614,0,0,0.01658455,0,0,0,0,0,0.001268656,0,0,0,0,0,0.008626889,0,0.02067354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Blue whiting,0,0,0,0.02873673,0.000260652,0.012938,0.06627605,0.001281844,0.03157911,0.06437975,0.2245382,0.01230422,0.01281397,0.002016643,0.0449017,0,0,0.03551047,0,0,0.1103494,0,0,0,0,0.05229791,0.01854196,0,0,0.02605874,0,0,0,0,0.02508117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Pilchard,0.1187617,0.1248285,0,0.04123085,0.002329028,0.003951032,0,0.01260622,0.000296673,0,0.02418656,0.004919875,0,0,0.01836965,0,0,0.002299977,0,0,0.01491558,0,0,0.001744207,0,0,0,0,0,0,0,0,0.01070389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Herring,0.1431694,0.07928659,0.07852349,0.09055602,0.07067812,0.06492719,0.01054177,0,0.04034239,0.08916885,0.0383316,0,0.01107537,0.01008607,0.03638173,0.001779475,0.000561697,0,0,0,0.01330932,0.003572392,0,0,0,0,0.008047877,0,0,0,0,0,0.01241229,0,0.01580621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Pelagic - Large,0,0,0,0.01491992,0.04047003,0.001720936,0,0,0,0,0.000925531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Pelagic - Medium,0.01411468,0.01463371,0.008684793,0.04270291,0.01469161,0.004393137,0.0004927,0.01274421,0.007974011,0.01389567,0.006463734,0.007955837,0.01632887,0.000071355,0.0139133,0.000604608,0.000117345,0,0,0.002482941,0,0.003391552,0,0,0,0.003830104,0.006489232,0,0,0.004525555,0,0.001986957,0.008070107,0,0.005197542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Squids,0,0,0.0394818,0.2030934,0.3005812,0.007062379,0.0147655,0.00028436,0.01823473,0.004081007,0.000181498,0.003244874,0.06763198,0.005009118,0.001830983,0,0,0.004849965,0,0,0.01013218,0.000351602,0,0,0,0.001334523,0.005845728,0,0,0.003548661,0,0,0.06543184,0,0.05072893,0.001295167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Benthic cephalopods,0,0,0.01604817,0.08184641,0,0.02434148,0.002874182,0.006842177,0.03517959,0.000258546,7.52528E-05,0.007554547,0.001380159,0.002254919,0.02953871,0.002071194,0,0.009078024,0.05472105,0,0.03462204,0.005918266,0,0,0,0,0,0,0,0,0,0,0.01540794,0,0.003168277,0.01490128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Commercial crustaceans,0,0,0,0,0,0.001064847,0.04672189,0.000704213,0,0,0,0,0.004741069,0.005988544,0,0,0,0,0,0.006010786,0.03017571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1043802,0.0226725,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Nephrops,0,0,0,0,0,0.01583815,0.01152225,0,0.01275442,0,0,0,0.03568219,0.02558084,0.003737609,0,0.000758542,0.003652823,0,0,0.009019614,0.001405348,0,0.000549637,0,0,0,0,0,0.002825125,0,0,0,0,0.004494586,0.01535241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Commercial bivalves,0,0,0,0,0,0,0,0,0,0,0,0,0.001132359,0.002870745,0,0,0,0,0.005425285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02969911,0,0,0,0.003007839,0,0,0,0,0,0,0,0,0
40,Shrimps,0,0,0,0,0.06326421,0.006070634,0.0944752,0.1100465,0.01805373,0.02430136,0.06038551,0.01839606,0.1779578,0.2356671,0.08627787,0.007317088,0.09704549,0.1931392,0.01221423,0.001094704,0.04468279,0.1004502,0.03026681,0.04818718,0.02209136,0.01492977,0.05750173,0.003451603,0.08279052,0.01001608,0,0.01328499,0.01154202,0,0.0538755,0.07688145,0.1884902,0.02202986,0,0.01613315,0,0,0,0,0,0,0,0,0,0
